id,artist,title,label,category,format,price,item_url,thumb_url
40,Bab,Aidour,Crowdspacer,techno,12inch,11.49,https://clone.nl//item63308.html,https://clone.nl/platen/artwork/large/plaatimage62601.jpg
41,Terrace,Isolation EP,Delsin,techno,12inch,9.99,https://clone.nl//item63299.html,https://clone.nl/platen/artwork/large/plaatimage62592.jpg
42,Calibre & DRS vs. Mark Ernestus ,Bad & Badder,Signature records,techno,12inch,10.99,https://clone.nl//item63296.html,https://clone.nl/platen/artwork/large/plaatimage62589.jpg
43,Sarayu,Pridi 303 (Mr. Ho remix),More Rice,techno,12inch,11.99,https://clone.nl//item63287.html,https://clone.nl/platen/artwork/large/plaatimage62580.jpg
44,Shcuro,Echoplexia,Naive,techno,12inch,13.99,https://clone.nl//item63283.html,https://clone.nl/platen/artwork/large/plaatimage62576.jpg
45,Lisene,Mind Palace,Salt Mines,techno,12inch,10.99,https://clone.nl//item63279.html,https://clone.nl/platen/artwork/large/plaatimage62572.jpg
46,Various Artists,Herdersmat part 30-33,Mord,techno,4x12inch,39.99,https://clone.nl//item63275.html,https://clone.nl/platen/artwork/large/plaatimage62568.jpg
47,Amandra & Karim,"Sqala (Donato Dozzy, Forest Drive West & Dorisburg remixes)",Tikita,techno,2x12inch,20.99,https://clone.nl//item63272.html,https://clone.nl/platen/artwork/large/plaatimage62565.jpg
48,Nene H,Beast EP (VTSS remix),Possession,techno,12inch,11.49,https://clone.nl//item63269.html,https://clone.nl/platen/artwork/large/plaatimage62562.jpg
49,Michal Wolski,Gateway,Inpureform,techno,12inch,12.99,https://clone.nl//item63268.html,https://clone.nl/platen/artwork/large/plaatimage62558.jpg
50,Felix K,Skulpturen #1-4,Nullpunkt,techno,LP,20.99,https://clone.nl//item63267.html,https://clone.nl/platen/artwork/large/plaatimage62561.jpg
51,Ena,One Draw,Solar One Music,techno,LP,18.99,https://clone.nl//item63266.html,https://clone.nl/platen/artwork/large/plaatimage62560.jpg
52,F&E,Forschung & Entwicklung II,Likemind,techno,12inch,23.99,https://clone.nl//item63265.html,https://clone.nl/platen/artwork/large/plaatimage62559.jpg
53,Various Artists,Espectrum 2 EP2,Cultivated Electronics,techno,12inch,23.99,https://clone.nl//item63243.html,https://clone.nl/platen/artwork/large/plaatimage62536.jpg
54,Phase Fatale,Redeemer Extended Mixes,Clone Classic Cuts,techno,12inch,10.99,https://clone.nl//item63231.html,https://clone.nl/platen/artwork/large/plaatimage62525.jpg
55,Deas,Desert Ride EP,Clone Classic Cuts,techno,12inch,23.99,https://clone.nl//item63222.html,https://clone.nl/platen/artwork/large/plaatimage62516.jpg
56,Rotor Militia,Mechanism 001,Mindri,techno,12inch,23.99,https://clone.nl//item63221.html,https://clone.nl/platen/artwork/large/plaatimage62515.jpg
57,Cailin,Phantom Love Affair,Clone Classic Cuts,techno,12inch,14.99,https://clone.nl//item63217.html,https://clone.nl/platen/artwork/large/plaatimage62511.jpg
58,747,While My 303 Gently Weeps,Clone Classic Cuts,techno,12inch,23.99,https://clone.nl//item63212.html,https://clone.nl/platen/artwork/large/plaatimage62505.jpg
59,Messiahwaits,Hyper Ritual ,Clone Classic Cuts,techno,12inch,14.99,https://clone.nl//item63206.html,https://clone.nl/platen/artwork/large/plaatimage62644.jpg
60,Audition,Sync EP,Clone Classic Cuts,techno,12inch,10.99,https://clone.nl//item63205.html,https://clone.nl/platen/artwork/large/plaatimage62852.jpg
61,Till Kruger,Gravity,Clone Classic Cuts,techno,2LP,20.99,https://clone.nl//item63204.html,https://clone.nl/platen/artwork/large/plaatimage62851.jpg
62,Michael Klein, Trip Image,Clone Classic Cuts,techno,12inch,17.99,https://clone.nl//item63203.html,https://clone.nl/platen/artwork/large/plaatimage62850.jpg
